Date,Weekly_Sales,IsHoliday
02/05/2010,24924.5,FALSE
02/05/2010,50605.27,FALSE
02/12/2010,46039.49,TRUE
02/12/2010,44682.74,TRUE
02/19/2010,41595.55,FALSE
02/19/2010,47928.89,FALSE
02/26/2010,19403.54,FALSE
02/26/2010,44292.87,FALSE
03/05/2010,21827.9,FALSE
03/05/2010,48397.98,FALSE
03/12/2010,21043.39,FALSE
03/12/2010,43751.94,FALSE
03/19/2010,22136.64,FALSE
03/19/2010,43615.49,FALSE
03/26/2010,26229.21,FALSE
03/26/2010,41892.55,FALSE
04/02/2010,57258.43,FALSE
04/02/2010,47450.5,FALSE
04/09/2010,42960.91,FALSE
04/09/2010,46549.73,FALSE
04/16/2010,17596.96,FALSE
04/16/2010,45025.02,FALSE
04/23/2010,16145.35,FALSE
04/23/2010,44418.11,FALSE
04/30/2010,16555.11,FALSE
04/30/2010,45971.3,FALSE
05/07/2010,17413.94,FALSE
05/07/2010,47903.01,FALSE
05/14/2010,18926.74,FALSE
05/14/2010,43675.61,FALSE
05/21/2010,14773.04,FALSE
05/21/2010,44319.15,FALSE
05/28/2010,15580.43,FALSE
05/28/2010,44619.52,FALSE
06/04/2010,17558.09,FALSE
06/04/2010,48754.47,FALSE
06/11/2010,16637.62,FALSE
06/11/2010,47089.54,FALSE
06/18/2010,16216.27,FALSE
06/18/2010,44428.71,FALSE
06/25/2010,16328.72,FALSE
06/25/2010,45299.92,FALSE
07/02/2010,16333.14,FALSE
07/02/2010,47077.72,FALSE
07/09/2010,17688.76,FALSE
07/09/2010,46752.12,FALSE
07/16/2010,17150.84,FALSE
07/16/2010,44339.2,FALSE
07/23/2010,15360.45,FALSE
07/23/2010,44763.33,FALSE
07/30/2010,15381.82,FALSE
07/30/2010,45833.77,FALSE
08/06/2010,17508.41,FALSE
08/06/2010,50031.73,FALSE
08/13/2010,15536.4,FALSE
08/13/2010,45475.69,FALSE
08/20/2010,15740.13,FALSE
08/20/2010,49754.17,FALSE
08/27/2010,15793.87,FALSE
08/27/2010,49623.53,FALSE
09/03/2010,16241.78,FALSE
09/03/2010,49015.05,FALSE
09/10/2010,18194.74,TRUE
09/10/2010,45182.5,TRUE
09/17/2010,19354.23,FALSE
09/17/2010,44681.64,FALSE
09/24/2010,18122.52,FALSE
09/24/2010,42477.49,FALSE
10/01/2010,20094.19,FALSE
10/01/2010,45829.02,FALSE
10/08/2010,23388.03,FALSE
10/08/2010,46387.54,FALSE
10/15/2010,26978.34,FALSE
10/15/2010,43110.79,FALSE
10/22/2010,25543.04,FALSE
10/22/2010,42371.48,FALSE
10/29/2010,38640.93,FALSE
10/29/2010,44081.33,FALSE
11/05/2010,34238.88,FALSE
11/05/2010,46381.43,FALSE
11/12/2010,19549.39,FALSE
11/12/2010,43194.49,FALSE
11/19/2010,19552.84,FALSE
11/19/2010,41443.25,FALSE
11/26/2010,18820.29,TRUE
11/26/2010,45681.98,TRUE
12/03/2010,22517.56,FALSE
12/03/2010,44405.02,FALSE
12/10/2010,31497.65,FALSE
12/10/2010,46955.82,FALSE
12/17/2010,44912.86,FALSE
12/17/2010,49303.28,FALSE
12/24/2010,55931.23,FALSE
12/24/2010,59889.32,FALSE
12/31/2010,19124.58,TRUE
12/31/2010,35819.83,TRUE
01/07/2011,15984.24,FALSE
01/07/2011,43202.29,FALSE
01/14/2011,17359.7,FALSE
01/14/2011,39857.4,FALSE
01/21/2011,17341.47,FALSE
01/21/2011,41596.99,FALSE
01/28/2011,18461.18,FALSE
01/28/2011,41651.01,FALSE
02/04/2011,21665.76,FALSE
02/04/2011,46829.12,FALSE
02/11/2011,37887.17,TRUE
02/11/2011,47595.35,TRUE
02/18/2011,46845.87,FALSE
02/18/2011,49202.06,FALSE
02/25/2011,19363.83,FALSE
02/25/2011,46165.25,FALSE
03/04/2011,20327.61,FALSE
03/11/2011,21280.4,FALSE
03/18/2011,20334.23,FALSE
03/25/2011,20881.1,FALSE
04/01/2011,20398.09,FALSE
04/08/2011,23873.79,FALSE
04/15/2011,28762.37,FALSE
04/22/2011,50510.31,FALSE
04/29/2011,41512.39,FALSE
05/06/2011,20138.19,FALSE
05/13/2011,17235.15,FALSE
05/20/2011,15136.78,FALSE
05/27/2011,15741.6,FALSE
06/03/2011,16434.15,FALSE
06/10/2011,15883.52,FALSE
06/17/2011,14978.09,FALSE
06/24/2011,15682.81,FALSE
07/01/2011,15363.5,FALSE
07/08/2011,16148.87,FALSE
07/15/2011,15654.85,FALSE
07/22/2011,15766.6,FALSE
07/29/2011,15922.41,FALSE
08/05/2011,15295.55,FALSE
08/12/2011,14539.79,FALSE
08/19/2011,14689.24,FALSE
08/26/2011,14537.37,FALSE
09/02/2011,15277.27,FALSE
09/09/2011,17746.68,TRUE
09/16/2011,18535.48,FALSE
09/23/2011,17859.3,FALSE
09/30/2011,18337.68,FALSE
10/07/2011,20797.58,FALSE
10/14/2011,23077.55,FALSE
10/21/2011,23351.8,FALSE
10/28/2011,31579.9,FALSE
11/04/2011,39886.06,FALSE
11/11/2011,18689.54,FALSE
11/18/2011,19050.66,FALSE
11/25/2011,20911.25,TRUE
12/02/2011,25293.49,FALSE
12/09/2011,33305.92,FALSE
12/16/2011,45773.03,FALSE
12/23/2011,46788.75,FALSE
12/30/2011,23350.88,TRUE
01/06/2012,16567.69,FALSE
01/13/2012,16894.4,FALSE
01/20/2012,18365.1,FALSE
01/27/2012,18378.16,FALSE
02/03/2012,23510.49,FALSE
02/10/2012,36988.49,TRUE
02/17/2012,54060.1,FALSE
02/24/2012,20124.22,FALSE
03/02/2012,20113.03,FALSE
03/09/2012,21140.07,FALSE
03/16/2012,22366.88,FALSE
03/23/2012,22107.7,FALSE
03/30/2012,28952.86,FALSE
04/06/2012,57592.12,FALSE
04/13/2012,34684.21,FALSE
04/20/2012,16976.19,FALSE
04/27/2012,16347.6,FALSE
05/04/2012,17147.44,FALSE
05/11/2012,18164.2,FALSE
05/18/2012,18517.79,FALSE
05/25/2012,16963.55,FALSE
06/01/2012,16065.49,FALSE
06/08/2012,17666,FALSE
06/15/2012,17558.82,FALSE
06/22/2012,16633.41,FALSE
06/29/2012,15722.82,FALSE
07/06/2012,17823.37,FALSE
07/13/2012,16566.18,FALSE
07/20/2012,16348.06,FALSE
07/27/2012,15731.18,FALSE
08/03/2012,16628.31,FALSE
08/10/2012,16119.92,FALSE
08/17/2012,17330.7,FALSE
08/24/2012,16286.4,FALSE
08/31/2012,16680.24,FALSE
09/07/2012,18322.37,TRUE
09/14/2012,19616.22,FALSE
09/21/2012,19251.5,FALSE
09/28/2012,18947.81,FALSE
10/05/2012,21904.47,FALSE
10/12/2012,22764.01,FALSE
10/19/2012,24185.27,FALSE
10/26/2012,27390.81,FALSE